Title,Link,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,MinPlayTime,MaxPlayTime,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Dynasties: Heirate & Herrsche ,https://boardgamegeek.com/boardgame/191972/dynasties-heirate-herrsche,1152,2016,1204,7.2034,6.14549,1.1921,3,43,2807,1,3,5,4,4.0,29,60,90,Strategy ,1021,6.29584,"Area Majority / Influence
End Game Bonuses
I Cut, You Choose
Turn Order: Stat-Based
",Unknown,,,,,,
DC Deck-Building Game: Forever Evil ,https://boardgamegeek.com/boardgame/155463/dc-deck-building-game-forever-evil,1153,2014,1365,7.22844,6.14579,1.4958,2.4634,41,2938,0,2,4,3,3.0,13,45,75,Thematic,437,6.37086,"Deck, Bag, and Pool Building
",$33.39,,,,,,
Great Plains ,https://boardgamegeek.com/boardgame/330036/great-plains,1154,2021,1294,7.17219,6.14952,1.09497,1.7429,35,4761,1,2,2,2,2.0,18,20,20,Abstract ,57,6.75366,"Area Majority / Influence
Chaining
Grid Movement
Hexagon Grid
Modular Board
Resource Queue
",Unknown,Family ,593,6.30239,,,
Scrabble ,https://boardgamegeek.com/boardgame/320/scrabble,1155,1948,31457,6.2674,6.14592,1.61305,2.0679,1783,86593,0,2,4,2,2.0,305,90,90,Family ,847,6.11783,"End Game Bonuses
Hand Management
Square Grid
Tile Placement
",$27.80,,,,,,
Cinque Terre ,https://boardgamegeek.com/boardgame/124052/cinque-terre,1156,2013,1431,7.05054,6.14481,1.26983,2.3523,88,5361,0,2,4,2,2.0,30,60,60,Strategy ,1046,6.27822,"Action Points
Pick-up and Deliver
Set Collection
",Unknown,Family ,600,6.29832,,,
Confusion: Espionage and Deception in the Cold War ,https://boardgamegeek.com/boardgame/2961/confusion-espionage-and-deception-cold-war,1157,1992,1381,7.06173,6.14544,1.25369,2.413,92,3250,1,2,2,2,2.0,16,30,45,Abstract ,68,6.6675,"Grid Movement
Pick-up and Deliver
",Unknown,,,,,,
Royal Visit ,https://boardgamegeek.com/boardgame/22245/royal-visit,1158,2006,2418,6.70557,6.1436,1.38931,1.6531,147,12535,2,2,2,2,2.0,23,20,30,Strategy ,1109,6.23213,"Hand Management
Track Movement
Tug of War
",$24.99,Family ,653,6.25795,,,
Rum & Bones ,https://boardgamegeek.com/boardgame/168788/rum-bones,1159,2015,1881,6.88971,6.14517,1.47701,2.3333,60,2197,0,2,2,2,2.0,28,60,60,Thematic,436,6.3709,"Action Points
Area Majority / Influence
Bias
Dice Rolling
Grid Movement
Variable Player Powers
",$172.99,,,,,,
Marvel Villainous: Infinite Power ,https://boardgamegeek.com/boardgame/302336/marvel-villainous-infinite-power,1160,2020,2388,6.83143,6.1438,1.47864,2.7021,47,4694,0,2,4,3,4.0,33,40,80,Strategy ,1218,6.15443,"Action Points
Hand Management
Variable Player Powers
",$34.99,,,,,,
Andor: The Family Fantasy Game ,https://boardgamegeek.com/boardgame/295488/andor-family-fantasy-game,1161,2020,1174,7.32019,6.14151,1.18173,1.9302,43,5168,3,2,4,4,4.0,33,30,45,Children's ,6,7.00758,"Area Movement
Cooperative Game
Dice Rolling
Variable Player Powers
",$45.13,Family ,626,6.27869,,,
Mini Rails ,https://boardgamegeek.com/boardgame/225818/mini-rails,1162,2017,1614,6.91662,6.14398,1.3151,2.0976,41,5520,0,3,5,4,4.0,37,40,60,Strategy ,1056,6.27428,"Modular Board
Network and Route Building
Stock Holding
",$34.95,,,,,,
Court of the Dead: Mourners Call ,https://boardgamegeek.com/boardgame/248918/court-dead-mourners-call,1163,2019,1017,7.6656,6.14359,1.47214,2.95,40,1790,0,2,5,4,4.0,22,90,90,Thematic,379,6.47632,"Area Majority / Influence
Auction/Bidding
Dice Rolling
Hand Management
Open Drafting
Take That
",Unknown,Strategy ,1045,6.27892,,,
Wings of War: Deluxe Set ,https://boardgamegeek.com/boardgame/31552/wings-war-deluxe-set,1164,2007,1188,7.28628,6.14322,1.34319,2.0118,85,2113,0,2,4,2,2.0,11,45,45,War ,229,6.84086,"Action Queue
Player Elimination
Simulation
Simultaneous Action Selection
",Unknown,Thematic,421,6.39509,,,
DungeonQuest: Revised Edition ,https://boardgamegeek.com/boardgame/157958/dungeonquest-revised-edition,1165,2014,1518,7.10192,6.14457,1.55776,2.0133,75,4380,0,1,4,3,4.0,33,60,60,Thematic,426,6.39001,"Area Movement
Dice Rolling
Network and Route Building
Open Drafting
Player Elimination
Push Your Luck
",Unknown,,,,,,
Carcassonne: Star Wars ,https://boardgamegeek.com/boardgame/180564/carcassonne-star-wars,1166,2015,2496,6.6941,6.14401,1.39677,1.6226,53,6629,0,2,4,3,3.0,24,35,35,Family ,684,6.23048,"Dice Rolling
Tile Placement
",Unknown,,,,,,
The Adventurers: The Pyramid of Horus ,https://boardgamegeek.com/boardgame/98315/adventurers-pyramid-horus,1167,2011,2090,6.80011,6.14362,1.19652,1.7478,115,4867,1,2,6,4,5.0,26,45,45,Thematic,455,6.3431,"Action Points
Dice Rolling
Grid Movement
Pick-up and Deliver
Push Your Luck
Variable Player Powers
",$149.99,Family ,665,6.24521,,,
Conquest of Paradise ,https://boardgamegeek.com/boardgame/15954/conquest-paradise,1168,2007,1607,6.95497,6.1434,1.3853,2.4943,174,2922,0,2,4,3,4.0,50,90,90,Strategy ,1085,6.25118,"Area Majority / Influence
Dice Rolling
Events
Grid Movement
Hexagon Grid
Network and Route Building
",Unknown,,,,,,
Time of Soccer ,https://boardgamegeek.com/boardgame/166317/time-soccer,1169,2014,894,7.60409,6.14246,1.36784,3.2464,69,1950,0,1,4,3,3.0,41,120,120,Strategy ,1020,6.29676,"Dice Rolling
Set Collection
Simulation
",Unknown,,,,,,
A Game of Thrones: Catan – Brotherhood of the Watch ,https://boardgamegeek.com/boardgame/229218/game-thrones-catan-brotherhood-watch,1170,2017,1597,7.13845,6.14104,1.44473,2.56,25,2591,0,3,4,4,4.0,13,60,75,Strategy ,1146,6.20206,"Dice Rolling
Hand Management
Modular Board
Network and Route Building
Trading
",$48.49,,,,,,
Android: Infiltration ,https://boardgamegeek.com/boardgame/118063/android-infiltration,1171,2012,3713,6.51778,6.14123,1.33655,2.0975,236,8013,0,3,6,4,4.0,64,30,45,Thematic,513,6.26439,"Dice Rolling
Hand Management
Modular Board
Push Your Luck
Simultaneous Action Selection
",$89.99,,,,,,
Telestrations After Dark ,https://boardgamegeek.com/boardgame/173761/telestrations-after-dark,1172,2015,1632,7.06013,6.14294,1.57038,1,30,4474,0,4,8,6,8.0,14,20,30,Party ,107,6.47749,"Line Drawing
Paper-and-Pencil
",$28.50,,,,,,
Codenames: Disney – Family Edition ,https://boardgamegeek.com/boardgame/220775/codenames-disney-family-edition,1173,2017,2852,6.63159,6.14196,1.30279,1.2308,26,15249,2,4,8,4,4.0,20,15,15,Party ,135,6.37587,"Communication Limits
Memory
Pattern Recognition
Push Your Luck
Team-Based Game
",$24.55,Family ,683,6.23173,,,
Pathfinder Adventure Card Game: Core Set ,https://boardgamegeek.com/boardgame/271060/pathfinder-adventure-card-game-core-set,1174,2019,983,7.72722,6.14215,1.64775,3.08,25,5266,0,1,4,1,2.0,26,90,90,Thematic,355,6.51122,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Hand Management
Move Through Deck
Role Playing
",$89.99,,,,,,
Thunder & Lightning ,https://boardgamegeek.com/boardgame/191963/thunder-lightning,1175,2016,1251,7.16775,6.14104,1.28317,1.8333,18,4900,1,2,2,2,2.0,13,40,40,Strategy ,1054,6.27633,"Action Points
Hand Management
Secret Unit Deployment
",Unknown,,,,,,
Last Night on Earth: Timber Peak ,https://boardgamegeek.com/boardgame/122240/last-night-earth-timber-peak,1176,2012,967,7.60871,6.14105,1.34506,2.6304,46,1225,0,2,6,3,3.0,21,90,90,Thematic,365,6.5039,"Dice Rolling
Hand Management
Modular Board
Roll / Spin and Move
Team-Based Game
Variable Player Powers
",$53.99,,,,,,
Kingdomino Duel ,https://boardgamegeek.com/boardgame/281960/kingdomino-duel,1177,2019,2166,6.74842,6.14069,1.1668,1.5143,35,8048,4,2,2,2,2.0,14,20,20,Family ,649,6.25857,"Dice Rolling
End Game Bonuses
Paper-and-Pencil
",Unknown,,,,,,
Founders of Gloomhaven ,https://boardgamegeek.com/boardgame/214032/founders-gloomhaven,1178,2018,3081,6.60998,6.14045,1.73284,4.1034,203,5452,0,1,4,4,4.0,83,90,120,Strategy ,1125,6.21762,"Action Retrieval
Auction/Bidding
Deck, Bag, and Pool Building
Follow
Hand Management
Network and Route Building
",$49.99,,,,,,
System Gateway (fan expansion for Android: Netrunner) ,https://boardgamegeek.com/boardgame/345976/system-gateway-fan-expansion-android-netrunner,1179,2021,486,9.21564,6.14311,1.04358,3.3636,11,2485,0,2,2,2,2.0,7,45,45,Customizable,9,7.44647,"Action Points
Deck Construction
Hand Management
Race
Secret Unit Deployment
Take That
",Unknown,,,,,,
Dragonheart ,https://boardgamegeek.com/boardgame/66171/dragonheart,1180,2010,3600,6.50565,6.13995,1.28836,1.3553,228,29619,2,2,2,2,2.0,42,30,30,Family ,702,6.21819,"Hand Management
",Unknown,,,,,,
Il Vecchio ,https://boardgamegeek.com/boardgame/119391/il-vecchio,1181,2012,1659,6.90274,6.13935,1.13984,2.6228,114,3062,0,2,4,3,3.0,35,60,60,Strategy ,1063,6.26784,"Action Retrieval
Area Majority / Influence
Dice Rolling
End Game Bonuses
Events
Open Drafting
",$64.95,,,,,,
Sunset Over Water ,https://boardgamegeek.com/boardgame/224904/sunset-over-water,1182,2018,1596,6.98158,6.13978,1.19934,1.675,40,6077,0,1,4,4,4.0,31,20,20,Family ,634,6.27378,"Grid Movement
Set Collection
Simultaneous Action Selection
Solo / Solitaire Game
",$24.49,,,,,,
League of Six ,https://boardgamegeek.com/boardgame/31624/league-six,1183,2007,1944,6.78577,6.13937,1.27999,2.885,200,3121,1,4,5,5,5.0,40,75,120,Strategy ,1073,6.25713,"Auction/Bidding
Pick-up and Deliver
",$55.00,,,,,,
BattleCON: Fate of Indines ,https://boardgamegeek.com/boardgame/162388/battlecon-fate-indines,1184,2015,789,7.84359,6.13896,1.58492,3.2174,23,1146,0,2,2,2,2.0,9,30,60,Strategy ,1038,6.28485,"Hand Management
Point to Point Movement
Simultaneous Action Selection
Variable Player Powers
",$39.99,,,,,,
Around the World in 80 Days ,https://boardgamegeek.com/boardgame/12005/around-world-80-days,1185,2004,3261,6.55225,6.13885,1.25752,1.8085,355,8093,5,3,6,5,5.0,64,50,70,Family ,686,6.22962,"Hand Management
Open Drafting
Point to Point Movement
Race
",Unknown,,,,,,
Panic on Wall Street! ,https://boardgamegeek.com/boardgame/104581/panic-wall-street,1186,2011,1517,6.99717,6.14025,1.48474,1.6701,97,2600,0,5,11,7,11.0,26,30,30,Party ,97,6.53132,"Auction/Bidding
Commodity Speculation
Dice Rolling
Player Elimination
Stock Holding
",Unknown,,,,,,
Chronicle ,https://boardgamegeek.com/boardgame/54307/chronicle,1187,2009,1910,6.82262,6.13911,1.26225,1.9596,99,6025,0,3,5,4,4.0,36,30,30,Strategy ,1094,6.24597,"Action Retrieval
Set Collection
Take That
Trick-taking
",Unknown,Family ,650,6.25824,,,
Ecosystem ,https://boardgamegeek.com/boardgame/271519/ecosystem,1188,2019,1400,7.12294,6.14045,1.14461,1.5714,28,7562,1,2,6,4,4.0,20,15,20,Family ,620,6.28303,"Closed Drafting
Pattern Building
Set Collection
Tile Placement
",$16.99,,,,,,
Copycat ,https://boardgamegeek.com/boardgame/114031/copycat,1189,2012,2236,6.70412,6.13818,1.34391,2.7042,142,4343,1,2,4,4,4.0,24,95,95,Strategy ,1095,6.24592,"Auction: Dutch
Auction/Bidding
Deck, Bag, and Pool Building
Hand Management
Turn Order: Auction
Worker Placement
",$49.82,,,,,,
Werewolf ,https://boardgamegeek.com/boardgame/925/werewolf,1190,1986,4642,6.47885,6.13817,1.98887,1.3944,464,27802,1,8,24,13,13.0,72,60,60,Party ,194,6.21914,"Hidden Roles
Negotiation
Player Elimination
Role Playing
Roles with Asymmetric Information
Team-Based Game
",Unknown,,,,,,
BattleTech: Introductory Box Set ,https://boardgamegeek.com/boardgame/31759/battletech-introductory-box-set,1191,2002,932,7.64754,6.13818,1.4335,3.5513,78,1053,1,2,4,2,2.0,16,120,120,War ,204,6.90557,"Dice Rolling
Hexagon Grid
Variable Player Powers
",Unknown,Thematic,399,6.43908,,,
Rise and Decline of the Third Reich ,https://boardgamegeek.com/boardgame/1563/rise-and-decline-third-reich,1192,1974,2026,6.94334,6.13766,1.6704,4.3333,312,1297,2,2,5,2,2.0,44,1440,1440,War ,355,6.65505,"Dice Rolling
Grid Movement
Hexagon Grid
Simulation
",Unknown,,,,,,
Metro ,https://boardgamegeek.com/boardgame/559/metro,1193,1997,6164,6.37157,6.13791,1.24871,1.6876,573,16789,4,2,6,2,2.0,81,30,30,Strategy ,1190,6.17327,"Network and Route Building
Tile Placement
",$50.57,Family ,739,6.19259,,,
Pente ,https://boardgamegeek.com/boardgame/1295/pente,1194,1977,3044,6.6415,6.13763,1.50275,2.1025,244,14253,0,2,2,2,2.0,34,30,30,Abstract ,135,6.34892,"Pattern Building
",$31.67,,,,,,
Enemy Action: Ardennes ,https://boardgamegeek.com/boardgame/68820/enemy-action-ardennes,1195,2015,592,8.55975,6.13809,1.40852,4.2473,93,1232,2,1,2,1,2.0,32,60,900,War ,27,7.51292,"Campaign / Battle Card Driven
Chit-Pull System
Dice Rolling
Hexagon Grid
Simulation
Solo / Solitaire Game
",$156.41,,,,,,
The Grizzled: Armistice Edition ,https://boardgamegeek.com/boardgame/231327/grizzled-armistice-edition,1196,2018,822,7.74227,6.13699,1.2263,2.35,20,3533,0,2,4,4,4.0,14,45,45,Thematic,383,6.47,"Communication Limits
Cooperative Game
Hand Management
Move Through Deck
Push Your Luck
Scenario / Mission / Campaign Game
",$50.00,,,,,,
The Edge: Dawnfall ,https://boardgamegeek.com/boardgame/207729/edge-dawnfall,1197,2018,813,8.22675,6.14005,1.59452,3.0606,33,2052,0,1,4,2,2.0,26,60,90,War ,406,6.5848,"Area Majority / Influence
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Hand Management
",$319.95,Thematic,347,6.5263,,,
The Ark of the Covenant ,https://boardgamegeek.com/boardgame/6779/ark-covenant,1198,2003,1578,6.95478,6.13669,1.21658,1.9246,199,3477,0,2,5,3,4.0,29,30,30,Family ,643,6.26217,"Area Majority / Influence
Tile Placement
",Unknown,,,,,,
Ohne Furcht und Adel Sonderausgabe ,https://boardgamegeek.com/boardgame/130060/ohne-furcht-und-adel-sonderausgabe,1199,2012,1563,7.02995,6.13706,1.20679,2.3824,34,2637,0,3,6,4,4.0,22,60,60,,,,"Open Drafting
Variable Phase Order
Variable Player Powers
",Unknown,,,,,,
Pericles: The Peloponnesian Wars ,https://boardgamegeek.com/boardgame/199904/pericles-peloponnesian-wars,1200,2017,824,7.87232,6.1379,1.57926,4.3086,81,1432,1,1,2,4,4.0,40,45,360,War ,99,7.15215,"Area Majority / Influence
Dice Rolling
Events
Hand Management
Negotiation
Point to Point Movement
",$84.94,,,,,,
Gaslands: Refuelled ,https://boardgamegeek.com/boardgame/274428/gaslands-refuelled,1201,2019,649,8.30343,6.13776,1.22333,2.5556,18,1435,0,2,6,2,4.0,14,45,90,War ,129,7.06819,"Dice Rolling
Impulse Movement
Movement Template
Push Your Luck
Variable Player Powers
",Unknown,Thematic,358,6.51055,,,
Long Shot ,https://boardgamegeek.com/boardgame/40237/long-shot,1202,2009,2255,6.72058,6.13643,1.39627,1.7513,193,7357,1,3,8,5,5.0,48,60,60,Family ,666,6.24145,"Betting and Bluffing
Dice Rolling
Hand Management
",Unknown,,,,,,
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre ,https://boardgamegeek.com/boardgame/112686/epic-spell-wars-battle-wizards-duel-mt-skullzfyre,1203,2012,6459,6.45736,6.13576,1.61059,1.5773,220,10587,1,3,5,4,4.0,76,30,30,Thematic,629,6.10633,"Dice Rolling
Hand Management
Take That
",$30.99,Party ,263,6.06797,,,
1882: Assiniboia ,https://boardgamegeek.com/boardgame/282435/1882-assiniboia,1204,2019,619,8.12504,6.13465,1.20732,3.9565,23,3842,0,3,4,4,4.0,37,120,180,,,,"Auction/Bidding
Network and Route Building
Stock Holding
Tile Placement
",Unknown,,,,,,
Iron Dragon ,https://boardgamegeek.com/boardgame/130/iron-dragon,1205,1994,1651,7.01685,6.13593,1.57489,2.9329,149,3858,0,2,4,3,3.0,27,240,240,Strategy ,1092,6.24753,"Crayon Rail System
Hexagon Grid
Multiple Maps
Network and Route Building
Pick-up and Deliver
",Unknown,,,,,,
Skat ,https://boardgamegeek.com/boardgame/6819/skat,1206,1810,1223,7.25908,6.13684,1.74353,3.0667,120,10644,0,3,3,3,3.0,40,30,30,Strategy ,1096,6.24423,"Auction: Once Around
Auction/Bidding
Communication Limits
Team-Based Game
Trick-taking
",Unknown,,,,,,
"Run, Fight, or Die! ",https://boardgamegeek.com/boardgame/89910/run-fight-or-die,1207,2014,1936,6.83761,6.13477,1.39628,1.9485,97,6560,0,1,4,3,3.0,28,40,40,Thematic,445,6.35673,"Dice Rolling
Push Your Luck
Solo / Solitaire Game
Variable Player Powers
",Unknown,,,,,,
Days of Ire: Budapest 1956 ,https://boardgamegeek.com/boardgame/192802/days-ire-budapest-1956,1208,2016,1146,7.29324,6.13586,1.25691,2.7917,48,2826,0,1,4,2,3.0,32,60,90,War ,242,6.81971,"Action Points
Cooperative Game
Dice Rolling
Events
Hand Management
Simulation
",$50.72,Strategy ,1062,6.26904,,,
On the Underground: London/Berlin ,https://boardgamegeek.com/boardgame/281152/underground-londonberlin,1209,2019,1169,7.21978,6.13529,1.32302,2.3333,27,4124,0,1,4,3,3.0,30,45,60,Strategy ,1042,6.27979,"Action Points
Action Queue
Network and Route Building
Point to Point Movement
Solo / Solitaire Game
",Unknown,,,,,,
Drako: Dragon & Dwarves ,https://boardgamegeek.com/boardgame/102237/drako-dragon-dwarves,1210,2011,2596,6.66698,6.13296,1.26267,1.7652,132,7846,2,2,2,2,2.0,44,30,30,Thematic,504,6.27741,"Action Points
Campaign / Battle Card Driven
Grid Movement
Hand Management
Hexagon Grid
Variable Player Powers
",Unknown,Strategy ,1135,6.20873,,,
Shadowrift ,https://boardgamegeek.com/boardgame/112092/shadowrift,1211,2012,1288,7.20581,6.13315,1.46105,2.7059,68,4739,0,1,6,3,4.0,25,45,120,Thematic,413,6.41309,"Cooperative Game
Deck, Bag, and Pool Building
Hand Management
",Unknown,,,,,,
Mantis Falls ,https://boardgamegeek.com/boardgame/291847/mantis-falls,1212,2021,1232,7.2905,6.13234,1.4886,2.6579,38,2941,0,2,3,2,2.0,38,60,90,Thematic,440,6.3642,"Action Queue
Cooperative Game
Events
Hand Management
Hidden Roles
Semi-Cooperative Game
",$34.99,,,,,,
Super Dungeon Explore ,https://boardgamegeek.com/boardgame/92190/super-dungeon-explore,1213,2011,2653,6.73575,6.13257,1.65815,2.7333,165,3150,0,2,4,4,4.0,77,120,120,Strategy ,1219,6.15418,"Action Points
Dice Rolling
Modular Board
Team-Based Game
Variable Phase Order
Variable Player Powers
",Unknown,,,,,,
Samarkand: Routes to Riches ,https://boardgamegeek.com/boardgame/66214/samarkand-routes-riches,1214,2010,1717,6.86745,6.12957,1.17415,2.2603,146,4558,2,2,5,4,4.0,37,45,45,Strategy ,1084,6.25125,"Hand Management
Network and Route Building
Open Drafting
Stock Holding
",Unknown,Family ,647,6.25946,,,
Deckscape: Test Time ,https://boardgamegeek.com/boardgame/218311/deckscape-test-time,1215,2017,2630,6.59862,6.13033,1.25819,1.5849,53,3071,0,1,4,2,2.0,44,30,90,Thematic,480,6.31154,"Cooperative Game
Move Through Deck
Real-Time
",$14.45,Party ,131,6.38554,,,
20th Century ,https://boardgamegeek.com/boardgame/85036/20th-century,1216,2010,1787,6.82883,6.13166,1.19466,2.9857,140,3100,0,3,5,5,5.0,26,120,120,Strategy ,1081,6.25295,"Auction/Bidding
Memory
Point to Point Movement
Tile Placement
",$40.69,,,,,,
Nightfall ,https://boardgamegeek.com/boardgame/88408/nightfall,1217,2011,3945,6.48342,6.13101,1.61121,2.6371,259,13054,1,2,5,3,3.0,131,45,45,Strategy ,1173,6.18235,"Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
Pattern Building
Take That
",$22.98,,,,,,
Kero ,https://boardgamegeek.com/boardgame/222219/kero,1218,2018,1411,7.08949,6.13086,1.24659,1.975,40,3339,2,2,2,2,2.0,23,30,30,Family ,629,6.27615,"Area Majority / Influence
Dice Rolling
End Game Bonuses
Events
Move Through Deck
Push Your Luck
",$19.99,,,,,,
Sylla ,https://boardgamegeek.com/boardgame/35761/sylla,1219,2008,2131,6.71784,6.13029,1.25585,3.1111,189,3085,0,2,4,4,4.0,38,60,90,Strategy ,1104,6.23656,"Auction/Bidding
Open Drafting
Voting
",Unknown,,,,,,
Aliens: Another Glorious Day in the Corps ,https://boardgamegeek.com/boardgame/256852/aliens-another-glorious-day-corps,1220,2020,1305,7.4248,6.13182,1.626,2.8148,54,2557,5,1,6,3,3.0,38,60,120,Thematic,417,6.40336,"Cooperative Game
",$46.00,,,,,,
Oasis ,https://boardgamegeek.com/boardgame/9027/oasis,1221,2004,2215,6.70655,6.13027,1.20475,2.3194,263,4501,1,4,5,5,5.0,64,60,60,Strategy ,1105,6.2353,"Auction/Bidding
Enclosure
Hand Management
Tile Placement
",Unknown,,,,,,
Taboo ,https://boardgamegeek.com/boardgame/1111/taboo,1222,1989,12467,6.30051,6.1299,1.5015,1.2065,615,19126,3,4,10,6,6.0,95,20,20,Party ,227,6.13306,"Communication Limits
Team-Based Game
",$32.99,,,,,,
The Ravens of Thri Sahashri ,https://boardgamegeek.com/boardgame/150293/ravens-thri-sahashri,1223,2013,1310,7.10776,6.12908,1.46628,3.413,46,4416,0,2,2,2,2.0,25,45,45,Thematic,428,6.38777,"Communication Limits
Cooperative Game
Deduction
Pattern Building
Push Your Luck
Tile Placement
",Unknown,,,,,,
Vaalbara ,https://boardgamegeek.com/boardgame/361241/vaalbara,1224,2022,1208,7.26118,6.14123,1.07133,1.75,32,5980,0,2,5,4,4.0,22,20,20,Family ,599,6.29845,"Hand Management
Hidden Victory Points
Open Drafting
Set Collection
Simultaneous Action Selection
Turn Order: Role Order
",$19.99,,,,,,
Excavation Earth ,https://boardgamegeek.com/boardgame/292126/excavation-earth,1225,2021,1244,7.21912,6.13009,1.42648,3.7816,87,2669,3,1,4,3,4.0,38,30,120,Strategy ,1068,6.262,"Area Majority / Influence
Hand Management
Market
Open Drafting
Point to Point Movement
Set Collection
",$55.00,,,,,,
Flesh and Blood ,https://boardgamegeek.com/boardgame/293348/flesh-and-blood,1226,2019,790,8.07829,6.12985,1.75002,3.5185,27,16528,0,2,2,2,2.0,16,10,50,Customizable,30,7.14712,"Deck Construction
Hand Management
",$94.95,,,,,,
Atlantic Star ,https://boardgamegeek.com/boardgame/2570/atlantic-star,1227,2001,1780,6.85286,6.12842,1.20815,2.1422,218,3746,1,2,6,3,3.0,45,60,60,Strategy ,1091,6.248,"Auction: Dutch
Set Collection
",Unknown,Family ,655,6.25661,,,
Machi Koro 2 ,https://boardgamegeek.com/boardgame/340364/machi-koro-2,1228,2021,1302,7.16628,6.13138,1.2453,1.4091,22,5024,0,2,5,4,4.0,19,45,45,Family ,635,6.27333,"Dice Rolling
Random Production
",$29.95,,,,,,
Bot Factory ,https://boardgamegeek.com/boardgame/328124/bot-factory,1229,2023,978,7.53231,6.13631,1.29668,2.6364,55,3375,0,1,4,3,3.0,39,30,60,Strategy ,1044,6.27914,"Open Drafting
Tile Placement
Variable Phase Order
Worker Placement
",Unknown,Family ,601,6.2974,,,
1944: Race to the Rhine ,https://boardgamegeek.com/boardgame/148601/1944-race-rhine,1230,2014,1202,7.20565,6.12764,1.34385,2.9364,110,2378,1,1,3,3,3.0,42,90,90,War ,257,6.80336,"Action Points
Dice Rolling
Movement Points
Network and Route Building
Pick-up and Deliver
Point to Point Movement
",Unknown,Strategy ,1077,6.25521,,,
The King's Guild ,https://boardgamegeek.com/boardgame/206327/kings-guild,1231,2018,1429,7.06451,6.12609,1.31103,2.35,40,5506,0,2,5,3,4.0,33,60,120,Strategy ,1078,6.25478,"Hand Management
Set Collection
Variable Player Powers
",Unknown,,,,,,
Bandido ,https://boardgamegeek.com/boardgame/191925/bandido,1232,2016,5128,6.44019,6.12739,1.36164,1.1088,147,65200,0,1,4,2,2.0,113,10,15,Family ,763,6.17444,"Cooperative Game
Network and Route Building
Solo / Solitaire Game
Tile Placement
",$12.99,,,,,,
Fortress America ,https://boardgamegeek.com/boardgame/99/fortress-america,1233,1986,2508,6.71829,6.12689,1.53067,2.6382,246,1902,1,2,4,2,2.0,45,180,180,War ,456,6.52315,"Area Movement
Dice Rolling
Simulation
",Unknown,Thematic,502,6.27879,,,
Mandala Stones ,https://boardgamegeek.com/boardgame/317504/mandala-stones,1234,2021,1649,6.9293,6.128,1.19141,1.8039,51,6402,0,2,4,2,2.0,32,30,30,Abstract ,83,6.58454,"End Game Bonuses
Layering
Pattern Building
Set Collection
Variable Set-up
",$23.52,,,,,,
Thunderstone Advance: Worlds Collide ,https://boardgamegeek.com/boardgame/152765/thunderstone-advance-worlds-collide,1235,2014,812,7.72999,6.1254,1.32726,2.8,30,1722,0,1,4,2,2.0,18,60,60,Thematic,374,6.4857,"Deck, Bag, and Pool Building
Hand Management
Open Drafting
",$184.50,Strategy ,1043,6.27927,,,
Cathedral ,https://boardgamegeek.com/boardgame/7/cathedral,1236,1978,3556,6.53608,6.12436,1.34538,1.7872,282,9248,0,2,2,2,2.0,24,20,20,Abstract ,148,6.30768,"Enclosure
Pattern Building
Pattern Recognition
Square Grid
Tile Placement
",$39.99,,,,,,
Capital Lux 2: Generations ,https://boardgamegeek.com/boardgame/299607/capital-lux-2-generations,1237,2020,794,7.69206,6.12642,1.15921,2.2857,21,3128,0,1,4,3,3.0,31,15,40,Strategy ,1003,6.30422,"Area Majority / Influence
Closed Drafting
Hand Management
Variable Set-up
",Unknown,,,,,,
Tsukuyumi: Full Moon Down ,https://boardgamegeek.com/boardgame/185538/tsukuyumi-full-moon-down,1238,2018,911,7.86951,6.12331,1.71111,3.8182,55,1217,1,2,5,4,4.0,28,90,180,Strategy ,1083,6.25167,"Area Majority / Influence
Campaign / Battle Card Driven
Modular Board
Open Drafting
Variable Player Powers
",$129.95,,,,,,
Cuzco ,https://boardgamegeek.com/boardgame/249411/cuzco,1239,2018,976,7.44471,6.12614,1.15526,2.5789,57,1752,0,2,4,3,3.0,25,90,90,Strategy ,1061,6.26976,"Action Points
Area Majority / Influence
Hexagon Grid
Layering
Tile Placement
",$69.09,,,,,,
Mythotopia ,https://boardgamegeek.com/boardgame/133632/mythotopia,1240,2014,1857,6.79501,6.1232,1.45282,3.0865,104,3474,0,2,4,4,4.0,55,60,60,Strategy ,1099,6.23863,"Area Majority / Influence
Deck, Bag, and Pool Building
Hand Management
Variable Set-up
",$58.45,,,,,,
Dungeon Universalis ,https://boardgamegeek.com/boardgame/261393/dungeon-universalis,1241,2019,820,8.76956,6.12447,1.87712,4.299,97,1991,0,1,5,4,4.0,30,60,180,Thematic,386,6.46797,"Action Points
Action Queue
Cooperative Game
Dice Rolling
Grid Movement
Modular Board
",Unknown,,,,,,
