Title,Link,Rank,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Category_1,RankCategory_1,ScoreCategory_1,Category_2,RankCategory_2,ScoreCategory_2,Mechanics,AmazonPrice
The Bloody Inn ,https://boardgamegeek.com/boardgame/180593/bloody-inn,759,2015,9037,7.0585,6.74787,1.23627,2.3672,305,26729,2,1,4,4,4,151,30,60,Strategy ,502,6.79264,,,,"End Game Bonuses
Hand Management
Income
Open Drafting
Ownership
Simulation
",Unknown
Century: Eastern Wonders ,https://boardgamegeek.com/boardgame/242574/century-eastern-wonders,760,2018,7231,7.13057,6.74766,1.13724,2.1037,135,17771,0,2,4,4,4,76,30,45,Family ,186,6.8391,,,,"Contracts
Grid Movement
Modular Board
Pick-up and Deliver
Point to Point Movement
Set Collection
",$31.66 
Diplomacy ,https://boardgamegeek.com/boardgame/483/diplomacy,761,1959,13119,7.03933,6.74751,1.91853,3.3396,1169,10221,0,6,7,7,7,302,360,360,War ,269,6.79268,Strategy ,574,6.7205,"Area Majority / Influence
Area Movement
Negotiation
Player Elimination
Prisoner's Dilemma
Simultaneous Action Selection
",$28.85 
Bullet♥︎ ,https://boardgamegeek.com/boardgame/307305/bullet,762,2021,2892,7.65966,6.74688,1.30551,2.1127,71,18418,1,1,4,1,2,80,10,20,Family ,167,6.89063,,,,"Cooperative Game
Pattern Building
Push Your Luck
Real-Time
Solo / Solitaire Game
Variable Player Powers
",$34.78 
The Adventures of Robin Hood ,https://boardgamegeek.com/boardgame/326494/adventures-robin-hood,763,2021,3410,7.5368,6.74651,1.31396,1.8279,122,17209,9,1,4,2,2,98,60,60,Thematic,143,6.98625,Family ,164,6.89861,"Cooperative Game
Scenario / Mission / Campaign Game
Storytelling
",$41.82 
Advanced Squad Leader: Starter Kit #1 ,https://boardgamegeek.com/boardgame/9823/advanced-squad-leader-starter-kit-1,764,2004,2639,7.8449,6.74618,1.63374,3.7678,379,6250,1,1,2,2,2,54,120,120,War ,25,7.54524,,,,"Dice Rolling
Hexagon Grid
Line of Sight
",Unknown
Mosaic: A Story of Civilization ,https://boardgamegeek.com/boardgame/329551/mosaic-story-civilization,765,2022,3036,7.62145,6.74552,1.50486,2.9455,110,7599,1,3,5,4,4,102,120,120,Strategy ,412,6.90526,,,,"Action Queue
Area Majority / Influence
End Game Bonuses
Hand Management
Open Drafting
Set Collection
",$52.49 
Wits & Wagers ,https://boardgamegeek.com/boardgame/20100/wits-wagers,766,2005,15003,6.92537,6.7438,1.27961,1.2097,782,53079,7,4,7,6,7,133,25,25,Party ,51,6.81519,,,,"Betting and Bluffing
Paper-and-Pencil
",$58.97 
Yspahan ,https://boardgamegeek.com/boardgame/22345/yspahan,767,2006,8085,7.06686,6.74333,1.19142,2.3693,880,29784,10,2,4,3,4,187,45,60,Strategy ,477,6.82091,,,,"Action Drafting
Area Majority / Influence
Dice Rolling
",Unknown
Marrakesh ,https://boardgamegeek.com/boardgame/342810/marrakesh,768,2022,1783,8.18391,6.74316,1.23429,3.3491,106,6572,2,2,4,3,3,62,120,120,Strategy ,360,6.98218,,,,"Cube Tower
End Game Bonuses
Open Drafting
Simultaneous Action Selection
",$93.98 
Railroad Ink Challenge: Lush Green Edition ,https://boardgamegeek.com/boardgame/306881/railroad-ink-challenge-lush-green-edition,769,2021,2709,7.67187,6.74297,1.13683,2.1224,49,16883,0,1,4,2,2,38,15,30,Family ,149,6.93071,,,,"Dice Rolling
Line Drawing
Network and Route Building
Paper-and-Pencil
Solo / Solitaire Game
",$19.99 
Ticket to Ride: Rails & Sails ,https://boardgamegeek.com/boardgame/202670/ticket-ride-rails-sails,770,2016,4307,7.4299,6.74278,1.41963,2.5,86,12155,0,2,5,4,4,40,60,120,Family ,174,6.87107,,,,"Connections
Hand Management
Network and Route Building
Open Drafting
Set Collection
",$56.00 
Coal Baron ,https://boardgamegeek.com/boardgame/143515/coal-baron,771,2013,4763,7.2887,6.74244,1.12245,2.5439,285,10901,5,2,4,3,4,80,60,75,Strategy ,455,6.85794,,,,"Action Points
Contracts
Pick-up and Deliver
Set Collection
Tile Placement
Worker Placement
",Unknown
Between Two Cities ,https://boardgamegeek.com/boardgame/168435/between-two-cities,772,2015,10952,6.98865,6.74223,1.20948,1.8139,360,41311,6,3,7,5,6,150,25,25,Family ,213,6.79941,,,,"Closed Drafting
Highest-Lowest Scoring
Neighbor Scope
Set Collection
Simultaneous Action Selection
Solo / Solitaire Game
",Unknown
Crystal Palace ,https://boardgamegeek.com/boardgame/280480/crystal-palace,773,2019,3226,7.53335,6.74204,1.26396,3.8056,180,8323,4,2,4,3,3,90,90,150,Strategy ,414,6.90304,,,,"End Game Bonuses
Income
Loans
Modular Board
Set Collection
Take That
",Unknown
The Shipwreck Arcana ,https://boardgamegeek.com/boardgame/220517/shipwreck-arcana,774,2017,3476,7.46905,6.74178,1.32486,2.197,66,17523,0,2,5,4,4,46,10,30,Strategy ,453,6.86031,,,,"Communication Limits
Cooperative Game
Deduction
Hand Management
Pattern Building
",Unknown
Wallenstein ,https://boardgamegeek.com/boardgame/3307/wallenstein,775,2002,3618,7.45982,6.74097,1.44876,3.308,461,7278,2,3,5,5,5,60,150,150,Strategy ,423,6.89206,,,,"Action Points
Action Queue
Area Majority / Influence
Area Movement
Cube Tower
Simulation
",$129.99 
New York Zoo ,https://boardgamegeek.com/boardgame/300877/new-york-zoo,776,2020,7134,7.11707,6.74093,1.15688,1.9607,178,27792,0,1,4,3,3,106,30,60,Family ,193,6.83265,,,,"Automatic Resource Growth
Grid Coverage
Modular Board
Race
Rondel
Tile Placement
",$19.99 
Brian Boru: High King of Ireland ,https://boardgamegeek.com/boardgame/337765/brian-boru-high-king-ireland,777,2021,3132,7.54387,6.7407,1.16164,2.4848,99,7812,3,3,5,4,4,80,60,90,Strategy ,422,6.89702,,,,"Area Majority / Influence
Closed Drafting
Hand Management
Trick-taking
",$55.00 
CO₂: Second Chance ,https://boardgamegeek.com/boardgame/214887/co-second-chance,778,2018,3267,7.54744,6.73983,1.47651,4.0728,206,8242,1,1,4,3,3,70,60,120,Strategy ,429,6.88425,,,,"Area Majority / Influence
Cooperative Game
Open Drafting
Semi-Cooperative Game
Solo / Solitaire Game
Tile Placement
",Unknown
Trekking Through History ,https://boardgamegeek.com/boardgame/353288/trekking-through-history,779,2022,2567,7.73378,6.73964,1.08008,1.7763,76,9120,2,1,4,3,3,56,30,60,Family ,142,6.94192,,,,"Open Drafting
Set Collection
Turn Order: Time Track
",$49.95 
Disney Villainous ,https://boardgamegeek.com/boardgame/256382/disney-villainous,780,2018,18795,6.97927,6.73949,1.44595,2.4789,403,56650,2,2,4,3,3,343,45,120,Family ,235,6.74732,,,,"Hand Management
Take That
Variable Player Powers
",$42.97 
Middle-Earth Quest ,https://boardgamegeek.com/boardgame/31563/middle-earth-quest,781,2009,4172,7.38747,6.73861,1.43352,3.5457,372,6801,1,2,4,3,3,143,180,180,Thematic,146,6.97396,,,,"Hand Management
Point to Point Movement
Team-Based Game
Variable Player Powers
",$449.99 
Can't Stop ,https://boardgamegeek.com/boardgame/41/cant-stop,782,1980,17498,6.89914,6.73824,1.317,1.1495,1017,326011,4,2,4,3,3,287,30,30,Family ,224,6.7784,,,,"Dice Rolling
Push Your Luck
Race
",$39.75 
Empire of the Sun ,https://boardgamegeek.com/boardgame/11825/empire-sun,783,2005,1909,8.2705,6.73815,1.56227,4.3578,313,2923,6,1,2,2,2,67,360,360,War ,8,7.79312,,,,"Action Points
Campaign / Battle Card Driven
Dice Rolling
Grid Movement
Hexagon Grid
Ratio / Combat Results Table
",Unknown
Shipyard ,https://boardgamegeek.com/boardgame/55600/shipyard,784,2009,4020,7.35503,6.73808,1.31544,3.5,300,8325,2,2,4,3,3,102,120,120,Strategy ,431,6.87962,,,,"Contracts
End Game Bonuses
Modular Board
Open Drafting
Rondel
Set Collection
",$74.99 
Eminent Domain ,https://boardgamegeek.com/boardgame/68425/eminent-domain,785,2011,10370,6.9891,6.73529,1.3409,2.5055,544,39929,3,2,4,3,3,148,45,45,Strategy ,508,6.7876,,,,"Deck, Bag, and Pool Building
Delayed Purchase
Follow
Hand Management
Income
Layering
",Unknown
Dorfromantik: The Board Game ,https://boardgamegeek.com/boardgame/370591/dorfromantik-board-game,786,2022,2783,7.70522,6.73431,1.39814,1.6702,94,33252,4,1,3,1,2,129,30,60,Family ,159,6.90615,,,,"Area Majority / Influence
Cooperative Game
Hexagon Grid
Map Addition
Modular Board
Scenario / Mission / Campaign Game
",$52.95 
New Frontiers ,https://boardgamegeek.com/boardgame/255692/new-frontiers,787,2018,3590,7.42933,6.73403,1.21344,2.9388,98,15300,1,2,5,4,4,69,45,75,Strategy ,434,6.87855,,,,"Action Drafting
Follow
Increase Value of Unchosen Resources
Open Drafting
Race
Turn Order: Claim Action
",$57.23 
Blue Moon City ,https://boardgamegeek.com/boardgame/21882/blue-moon-city,788,2006,8485,7.04243,6.73299,1.20525,2.2914,858,21864,7,2,4,3,4,202,30,50,Strategy ,501,6.79414,Family ,205,6.80779,"Area Majority / Influence
Grid Movement
Hand Management
Modular Board
Set Collection
",$24.07 
Menara ,https://boardgamegeek.com/boardgame/244608/menara,789,2018,3496,7.45134,6.73208,1.14901,1.6271,59,16339,1,1,4,2,3,53,10,60,Family ,166,6.89177,,,,"Cooperative Game
Physical Removal
Stacking and Balancing
",Unknown
Reef ,https://boardgamegeek.com/boardgame/244228/reef,790,2018,9262,7.02342,6.73155,1.17174,1.8059,170,36910,3,2,4,2,2,108,30,45,Abstract ,41,6.8877,Family ,210,6.80262,"Hand Management
Layering
Pattern Building
",$34.96 
Rhino Hero: Super Battle ,https://boardgamegeek.com/boardgame/218333/rhino-hero-super-battle,791,2017,5097,7.24135,6.72949,1.22522,1.1053,76,22370,8,2,4,3,4,45,10,20,Family ,183,6.84985,,,,"Dice Rolling
Single Loser Game
Stacking and Balancing
",$34.99 
Three Sisters ,https://boardgamegeek.com/boardgame/291845/three-sisters,792,2022,2914,7.60994,6.72912,1.14341,2.7013,77,15149,1,1,4,2,3,44,30,60,Strategy ,447,6.86679,,,,"Dice Rolling
Paper-and-Pencil
Rondel
Solo / Solitaire Game
",Unknown
Dogs of War ,https://boardgamegeek.com/boardgame/158435/dogs-war,793,2014,3198,7.52144,6.72655,1.27169,2.646,113,6165,1,4,5,5,5,92,75,75,Strategy ,440,6.87382,,,,"Area Majority / Influence
Hand Management
Tug of War
Variable Player Powers
Worker Placement
",Unknown
Caverna: Cave vs Cave ,https://boardgamegeek.com/boardgame/220520/caverna-cave-vs-cave,794,2017,6587,7.11543,6.72653,1.14418,2.5593,177,22114,2,1,2,2,2,91,20,40,Strategy ,491,6.80619,,,,"Tile Placement
Worker Placement
",$45.71 
Kanagawa ,https://boardgamegeek.com/boardgame/200147/kanagawa,795,2016,8761,7.04167,6.72638,1.14617,2,199,29929,7,2,4,4,4,129,45,45,Family ,214,6.7992,,,,"Hand Management
Open Drafting
Pattern Building
Push Your Luck
Set Collection
Turn Order: Claim Action
",$29.99 
Saint Petersburg (Second Edition) ,https://boardgamegeek.com/boardgame/156943/saint-petersburg-second-edition,796,2014,3328,7.47141,6.72628,1.29307,2.6471,119,9326,1,2,5,4,4,39,60,60,Strategy ,438,6.87649,,,,"Income
Open Drafting
Set Collection
",Unknown
Ex Libris ,https://boardgamegeek.com/boardgame/201825/ex-libris,797,2017,6362,7.14692,6.72539,1.24835,2.5401,137,18042,4,1,4,3,3,85,45,45,Strategy ,504,6.79086,,,,"Hand Management
Open Drafting
Set Collection
Solo / Solitaire Game
Tile Placement
Variable Player Powers
",$45.65 
Warhammer: Invasion ,https://boardgamegeek.com/boardgame/47185/warhammer-invasion,798,2009,6002,7.23734,6.72525,1.47896,2.7343,429,38593,5,2,2,2,2,82,45,45,Customizable,37,7.01319,Strategy ,516,6.78528,"Hand Management
Variable Player Powers
",$122.99 
Deep Sea Adventure ,https://boardgamegeek.com/boardgame/169654/deep-sea-adventure,799,2014,15700,6.91949,6.725,1.29534,1.1813,364,75801,0,3,6,4,4,207,30,30,Family ,230,6.76059,,,,"Pick-up and Deliver
Push Your Luck
Roll / Spin and Move
",$18.81 
Skymines ,https://boardgamegeek.com/boardgame/359438/skymines,800,2022,1834,8.12262,6.7246,1.1988,3.8673,98,4535,0,1,4,4,4,70,75,150,Strategy ,376,6.95593,,,,"Action Queue
Area Majority / Influence
Deck, Bag, and Pool Building
Hand Management
Investment
Open Drafting
",$52.91 
Twilight Inscription ,https://boardgamegeek.com/boardgame/361545/twilight-inscription,801,2022,3181,7.55204,6.72449,1.35459,3.2239,134,9216,0,1,6,3,4,81,90,120,Strategy ,446,6.86925,,,,"Dice Rolling
Paper-and-Pencil
Variable Player Powers
",$51.99 
Empires: Age of Discovery ,https://boardgamegeek.com/boardgame/173442/empires-age-discovery,802,2015,2215,7.84012,6.72418,1.38744,3.3333,87,4099,0,3,6,5,5,45,50,150,Strategy ,399,6.92905,,,,"Area Majority / Influence
Set Collection
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types
",Unknown
Feed the Kraken ,https://boardgamegeek.com/boardgame/271601/feed-kraken,803,2022,2421,7.89725,6.72253,1.47769,2.1571,70,8884,1,6,11,8,11,65,45,90,Party ,19,7.15892,,,,"Acting
Betting and Bluffing
Grid Movement
Hidden Roles
Role Playing
Roles with Asymmetric Information
",Unknown
Messina 1347 ,https://boardgamegeek.com/boardgame/238799/messina-1347,804,2021,2769,7.62418,6.72102,1.13703,3.5772,149,8343,2,1,4,3,3,90,60,140,Strategy ,424,6.8904,,,,"Grid Movement
Income
Modular Board
Solo / Solitaire Game
Track Movement
Variable Player Powers
",$43.01 
World Without End ,https://boardgamegeek.com/boardgame/43528/world-without-end,805,2009,4990,7.23814,6.72101,1.24365,2.8167,371,10725,8,2,4,4,4,112,90,120,Strategy ,475,6.82567,,,,"Hand Management
Random Production
",Unknown
Blokus ,https://boardgamegeek.com/boardgame/2453/blokus,806,2000,26560,6.8594,6.72098,1.25636,1.7483,1653,76364,9,2,2,4,4,462,20,20,Abstract ,54,6.76499,,,,"Chaining
Enclosure
Grid Coverage
Hand Management
Tile Placement
",$22.99 
Cry Havoc ,https://boardgamegeek.com/boardgame/192457/cry-havoc,807,2016,6776,7.13643,6.72097,1.42154,3.2808,203,10789,11,2,4,4,4,146,60,120,War ,271,6.79093,Strategy ,499,6.79578,"Area Majority / Influence
Area Movement
Deck, Bag, and Pool Building
Events
Hand Management
Multi-Use Cards
",$47.49 
Space Hulk ,https://boardgamegeek.com/boardgame/2163/space-hulk,808,1989,3831,7.47935,6.7203,1.60682,2.5,322,4433,0,2,2,2,2,43,45,45,War ,107,7.1303,Thematic,149,6.9603,"Action Points
Dice Rolling
Grid Movement
Modular Board
",Unknown
Crown of Emara ,https://boardgamegeek.com/boardgame/256570/crown-emara,809,2018,3617,7.4054,6.71761,1.08771,3.0427,164,10187,2,1,4,3,3,79,45,75,Strategy ,452,6.86056,,,,"Action Queue
Contracts
Events
Hand Management
Highest-Lowest Scoring
Modular Board
",$118.77 
Babylonia ,https://boardgamegeek.com/boardgame/266164/babylonia,810,2019,2487,7.68339,6.71579,1.2095,2.3816,76,9030,0,2,4,3,4,79,60,60,Strategy ,413,6.90391,,,,"Area Majority / Influence
Chaining
Hand Management
Network and Route Building
Tile Placement
",$49.97 
Super Motherload ,https://boardgamegeek.com/boardgame/162286/super-motherload,811,2015,3942,7.35005,6.71549,1.12769,2.2748,131,10301,1,2,3,2,2,93,60,75,Strategy ,467,6.84052,,,,"Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Set Collection
Tile Placement
Variable Player Powers
",$72.49 
Finca ,https://boardgamegeek.com/boardgame/40628/finca,812,2009,7313,7.0678,6.71546,1.17054,2.0763,485,29222,11,2,4,2,2,203,45,45,Family ,208,6.80458,,,,"Contracts
Mancala
Once-Per-Game Abilities
Rondel
Set Collection
",Unknown
878 Vikings: Invasions of England ,https://boardgamegeek.com/boardgame/204516/878-vikings-invasions-england,813,2017,3330,7.50423,6.71505,1.30206,2.6167,120,5678,3,2,4,2,2,98,60,120,War ,92,7.19456,,,,"Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Command Cards
Dice Rolling
Die Icon Resolution
",$80.00 
The Pursuit of Happiness ,https://boardgamegeek.com/boardgame/181687/pursuit-happiness,814,2015,5353,7.18171,6.71485,1.29168,2.5037,135,14483,1,1,4,3,3,88,60,90,Family ,196,6.82438,,,,"End Game Bonuses
Income
Open Drafting
Simulation
Solo / Solitaire Game
Turn Order: Stat-Based
",Unknown
Paris: La Cité de la Lumière ,https://boardgamegeek.com/boardgame/276498/paris-la-cite-de-la-lumiere,815,2019,4426,7.32154,6.71403,1.14185,2.0431,116,14583,3,2,2,2,2,46,30,30,Abstract ,29,7.0269,,,,"Action Drafting
Area Majority / Influence
Grid Coverage
Layering
Open Drafting
Square Grid
",Unknown
Up Front ,https://boardgamegeek.com/boardgame/586/front,816,1983,2263,7.88324,6.71371,1.73433,3.4152,289,8011,1,2,2,2,2,53,60,60,War ,24,7.59372,,,,"Campaign / Battle Card Driven
Hand Management
Relative Movement
Simulation
Variable Player Powers
",Unknown
Railroad Ink: Blazing Red Edition ,https://boardgamegeek.com/boardgame/251678/railroad-ink-blazing-red-edition,817,2018,6689,7.10187,6.71261,1.16982,1.46,100,38188,3,1,6,3,3,66,20,30,Family ,211,6.80185,,,,"Bingo
Connections
Dice Rolling
Line Drawing
Network and Route Building
Paper-and-Pencil
",$19.99 
Perudo ,https://boardgamegeek.com/boardgame/45/perudo,818,1800,14712,6.90775,6.71218,1.40585,1.2563,956,104806,3,3,6,5,6,204,15,30,Party ,59,6.76121,Family ,233,6.74852,"Betting and Bluffing
Dice Rolling
Player Elimination
",$29.99 
7 Wonders: Architects ,https://boardgamegeek.com/boardgame/346703/7-wonders-architects,819,2021,8649,7.03858,6.71177,1.46727,1.3451,284,94139,10,2,7,4,4,161,25,25,Family ,220,6.7855,,,,"Open Drafting
Set Collection
Variable Player Powers
",$49.99 
First Rat ,https://boardgamegeek.com/boardgame/347703/first-rat,820,2022,2648,7.63974,6.71154,1.0217,2.2584,89,8966,1,1,5,3,4,74,30,75,Strategy ,444,6.87132,Family ,161,6.90507,"Point to Point Movement
Set Collection
Solo / Solitaire Game
",$39.49 
Dominant Species: Marine ,https://boardgamegeek.com/boardgame/262941/dominant-species-marine,821,2021,1927,7.98249,6.71074,1.38322,3.6261,115,4027,2,2,4,4,4,52,90,150,Strategy ,391,6.93492,,,,"Area Majority / Influence
Grid Movement
Modular Board
Open Drafting
Tile Placement
Variable Phase Order
",$67.75 
Arcadia Quest: Inferno ,https://boardgamegeek.com/boardgame/179803/arcadia-quest-inferno,822,2017,2315,7.89965,6.71021,1.39505,2.44,25,4963,0,2,4,4,4,26,60,120,Thematic,125,7.06875,,,,"Action Retrieval
Dice Rolling
Grid Movement
Modular Board
Scenario / Mission / Campaign Game
Square Grid
",$99.99 
Vast: The Crystal Caverns ,https://boardgamegeek.com/boardgame/170416/vast-crystal-caverns,823,2016,6838,7.1213,6.71014,1.48353,3.6402,214,13439,5,2,5,4,4,127,75,150,Thematic,200,6.81629,Strategy ,538,6.76571,"Action Points
Dice Rolling
Grid Movement
Hand Management
Line of Sight
Modular Board
",Unknown
Verdant ,https://boardgamegeek.com/boardgame/334065/verdant,824,2022,3731,7.41317,6.70969,1.13611,2.0638,94,18438,0,1,4,2,3,69,45,60,Abstract ,27,7.03832,Family ,182,6.85261,"Open Drafting
Pattern Building
Set Collection
Solo / Solitaire Game
Tile Placement
Variable Set-up
",$35.99 
Exit: The Game – The Secret Lab ,https://boardgamegeek.com/boardgame/203417/exit-game-secret-lab,825,2016,6823,7.0676,6.70912,1.37177,2.5443,79,6868,5,1,4,2,2,78,45,150,Thematic,183,6.87049,Family ,209,6.8034,"Cooperative Game
",$14.34 
Panamax ,https://boardgamegeek.com/boardgame/131287/panamax,826,2014,3995,7.31006,6.70846,1.31918,3.7409,247,8316,8,3,4,4,4,86,90,120,Strategy ,466,6.84118,,,,"Area Majority / Influence
Dice Rolling
Moving Multiple Units
Pick-up and Deliver
Point to Point Movement
Slide/Push
",Unknown
Zombicide Season 2: Prison Outbreak ,https://boardgamegeek.com/boardgame/137988/zombicide-season-2-prison-outbreak,827,2013,4688,7.35739,6.7084,1.50255,2.669,142,6282,2,1,6,2,3,44,60,60,Thematic,180,6.87716,,,,"Action Points
Cooperative Game
Dice Rolling
Hand Management
Modular Board
Variable Player Powers
",$100.00 
Ricochet Robots ,https://boardgamegeek.com/boardgame/51/ricochet-robots,828,1999,8966,7.02296,6.70814,1.65449,2.3852,527,28107,0,1,12,3,6,109,30,30,Abstract ,49,6.80718,,,,"Grid Movement
Modular Board
Real-Time
Square Grid
Turn Order: Stat-Based
Variable Set-up
",Unknown
The Duke ,https://boardgamegeek.com/boardgame/36235/duke,829,2013,4137,7.32881,6.70794,1.31614,2.4809,131,17748,4,2,2,2,2,32,30,30,Abstract ,31,6.98871,,,,"Grid Movement
Pattern Movement
Square Grid
Tile Placement
",Unknown
Dice Hospital ,https://boardgamegeek.com/boardgame/218121/dice-hospital,830,2018,6069,7.13798,6.70785,1.23203,2.3066,137,26945,3,1,4,3,3,85,45,90,Strategy ,529,6.77386,Family ,207,6.80647,"Action Drafting
Action Points
Dice Rolling
Hexagon Grid
I Cut, You Choose
Modular Board
",$46.18 
Black Angel ,https://boardgamegeek.com/boardgame/230244/black-angel,831,2019,4665,7.25908,6.70747,1.42738,3.8488,291,10839,1,1,4,3,3,124,60,120,Strategy ,482,6.81435,,,,"Bias
Dice Rolling
Hand Management
Map Addition
Map Reduction
Slide/Push
",$79.99 
Next Station: London ,https://boardgamegeek.com/boardgame/353545/next-station-london,832,2022,3197,7.47542,6.70538,1.1122,1.4634,82,50340,8,1,4,2,2,54,25,30,Family ,173,6.87129,,,,"Connections
Line Drawing
Network and Route Building
Paper-and-Pencil
",$20.99 
Unfair ,https://boardgamegeek.com/boardgame/179172/unfair,833,2017,4852,7.33541,6.70518,1.56599,2.7265,117,16400,2,2,5,3,4,88,50,125,Thematic,208,6.79789,Strategy ,533,6.76939,"Hand Management
Income
Loans
Open Drafting
Set Collection
Take That
",$43.72 
"Heroes of Land, Air & Sea ",https://boardgamegeek.com/boardgame/198830/heroes-land-air-sea,834,2018,3023,7.60311,6.70515,1.53684,3.3061,98,5978,1,2,4,4,4,56,120,180,War ,196,6.91946,Strategy ,468,6.83893,"Action Points
Area Majority / Influence
Card Play Conflict Resolution
Follow
Take That
Variable Player Powers
",Unknown
Maquis ,https://boardgamegeek.com/boardgame/148729/maquis,835,2013,3413,7.44907,6.70318,1.21465,2.1985,131,20386,1,1,1,1,1,76,30,30,Thematic,171,6.90525,Strategy ,489,6.80868,"Solo / Solitaire Game
Worker Placement
",$29.99 
1989: Dawn of Freedom ,https://boardgamegeek.com/boardgame/26997/1989-dawn-freedom,836,2012,2288,7.77995,6.70223,1.3836,3.2819,188,4390,3,2,2,2,2,52,150,150,War ,34,7.47031,Strategy ,427,6.88728,"Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
Hand Management
Simulation
",$69.99 
King of New York ,https://boardgamegeek.com/boardgame/160499/king-new-york,837,2014,16243,6.89422,6.70148,1.29196,1.8628,481,33060,5,3,6,4,4,166,40,40,Family ,244,6.72642,,,,"Dice Rolling
Die Icon Resolution
King of the Hill
Open Drafting
Player Elimination
Push Your Luck
",$36.26 
FUSE ,https://boardgamegeek.com/boardgame/171273/fuse,838,2015,8535,7.00731,6.70094,1.23859,1.6564,163,65209,1,1,5,4,4,123,10,10,Family ,226,6.76866,,,,"Cooperative Game
Dice Rolling
Die Icon Resolution
Elapsed Real Time Ending
Open Drafting
Pattern Building
",$24.06 
Squad Leader ,https://boardgamegeek.com/boardgame/1035/squad-leader,839,1977,3407,7.54476,6.7006,1.57966,4.0335,418,4300,3,1,2,2,2,53,60,60,War ,68,7.30032,,,,"Critical Hits and Failures
Dice Rolling
Events
Grid Movement
Hexagon Grid
Line of Sight
",Unknown
Dungeons & Dragons: The Legend of Drizzt Board Game ,https://boardgamegeek.com/boardgame/91872/dungeons-dragons-legend-drizzt-board-game,840,2011,6308,7.21337,6.69791,1.3766,2.5853,299,10830,0,1,5,3,4,89,60,60,Thematic,189,6.8412,,,,"Cooperative Game
Dice Rolling
Grid Movement
Modular Board
Role Playing
Solo / Solitaire Game
",$63.94 
Witchstone ,https://boardgamegeek.com/boardgame/318560/witchstone,841,2021,2770,7.58935,6.69774,1.09303,2.7812,96,9350,2,2,4,3,3,77,60,90,Strategy ,454,6.85941,,,,"End Game Bonuses
Grid Coverage
Hexagon Grid
Network and Route Building
Open Drafting
Point to Point Movement
",$38.06 
Cerebria: The Inside World ,https://boardgamegeek.com/boardgame/218479/cerebria-inside-world,842,2018,2525,7.76848,6.69752,1.58339,4.336,247,4848,2,1,4,2,2,109,60,120,Strategy ,445,6.8711,,,,"Action Points
Area Majority / Influence
Cooperative Game
Deck Construction
Hand Management
Point to Point Movement
",$73.04 
Tang Garden ,https://boardgamegeek.com/boardgame/252153/tang-garden,843,2019,3889,7.38699,6.69732,1.38727,2.6071,112,10349,2,1,4,3,3,73,40,60,Strategy ,505,6.79014,Family ,200,6.81535,"Line of Sight
Open Drafting
Set Collection
Solo / Solitaire Game
Tile Placement
Variable Player Powers
",$59.95 
Gentes ,https://boardgamegeek.com/boardgame/217780/gentes,844,2017,3406,7.40655,6.69544,1.14736,3.1765,136,7755,6,2,4,4,4,79,90,90,Strategy ,463,6.84421,,,,"Action Drafting
Action Points
Open Drafting
Set Collection
Turn Order: Claim Action
",$55.99 
Among the Stars ,https://boardgamegeek.com/boardgame/110277/among-stars,845,2012,7159,7.03571,6.69527,1.21923,2.2362,309,16468,1,2,4,4,4,108,30,30,Strategy ,534,6.76844,,,,"Closed Drafting
Open Drafting
Simultaneous Action Selection
Tile Placement
Variable Player Powers
",Unknown
Disney Villainous: Perfectly Wretched ,https://boardgamegeek.com/boardgame/299047/disney-villainous-perfectly-wretched,846,2020,2935,7.65835,6.6952,1.23382,2.3214,28,1943,0,2,3,3,3,19,40,60,Family ,179,6.85386,,,,"Hand Management
Take That
Variable Player Powers
",$31.07 
Incan Gold ,https://boardgamegeek.com/boardgame/15512/incan-gold,847,2005,20652,6.82895,6.69465,1.2168,1.111,874,142165,15,3,8,6,8,227,30,30,Family ,245,6.7248,,,,"Move Through Deck
Push Your Luck
Score-and-Reset Game
Simultaneous Action Selection
",$26.99 
Outlive ,https://boardgamegeek.com/boardgame/191051/outlive,848,2017,4481,7.30284,6.6941,1.31416,3.0065,154,8580,3,2,4,4,4,89,40,110,Strategy ,495,6.8015,,,,"Area Movement
Events
Set Collection
Take That
Variable Set-up
Worker Placement
",Unknown
Red7 ,https://boardgamegeek.com/boardgame/161417/red7,849,2014,15534,6.87232,6.69363,1.31714,1.6903,465,114265,6,2,4,4,4,241,5,30,Family ,243,6.73069,,,,"Hand Management
Player Elimination
Score-and-Reset Game
Set Collection
",$12.97 
Raccoon Tycoon ,https://boardgamegeek.com/boardgame/254386/raccoon-tycoon,850,2018,4240,7.29856,6.69334,1.30312,2.1447,76,10229,0,3,5,4,4,63,60,90,Strategy ,519,6.7822,Family ,198,6.81755,"Auction: Turn Order Until Pass
Auction/Bidding
Commodity Speculation
Market
Set Collection
",Unknown
